university;number
Universita di Bologna;36
Universita di Genova;23
Universita di Sassari;15
Universita di Verona;21
Universita di Milano;11
Universita di Trento;28
Universita di Torino;11
TU Munich;12
LMU;12
ESB;25
Frankfurt School;20
Nordakademie;13
WHU;41
Goethe University;10
Frankfurt am Main;18
Zeppelin University;15
Johannes Gutenberg Universitat Mainz;16
University of Bayreuth;24
University of Tuebingen;6
Maastricht University;18
HEC Lausanne;21
Uni Salzburg;10
