university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1019,uni_name: Universita di Trento,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1018,uni_name: ESB,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1017,uni_name: University of Bayreuth,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
university_id: 1017,uni_name: University of Bayreuth,bus_id:3,accommodation_details:{'id': {'_str': '5a28e7acb657dad44576bf76'}, 'name': 'CARDUCCI', 'bus_zone': '3'}
