name,capacity,buz_zone
RIGLER,20,1
UNICITY,27,1
SALETTA,33,1
HAUSSB,24,1
SALEETA_HSB,18,1
RAINERUM,6,1
WG,97,1
GALILEI,78,2
CARDUCCI,60,2
HSB,24,3
